key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
g0001,g0001.mp3,7.262,4,0,0.0,1.014558,1.014558
g0001,g0001.mp3,7.262,4,1,2.000522,2.299546,0.299025
g0001,g0001.mp3,7.262,4,2,3.438027,4.074036,0.636009
g0001,g0001.mp3,7.262,4,3,4.608458,5.687415,1.078957
g0002,g0002.mp3,13.897125,4,0,0.0,4.214966,4.214966
g0002,g0002.mp3,13.897125,4,1,5.040454,5.163129,0.122676
g0002,g0002.mp3,13.897125,4,2,6.223129,7.531723,1.308594
g0002,g0002.mp3,13.897125,4,3,8.49424,9.972472,1.478231
g0003,g0003.mp3,7.784375,4,0,0.0,1.069093,1.069093
g0003,g0003.mp3,7.784375,4,1,1.95585,2.081156,0.125306
g0003,g0003.mp3,7.784375,4,2,3.221383,3.645828,0.424444
g0003,g0003.mp3,7.784375,4,3,4.65322,5.780635,1.127415
g0004,g0004.mp3,13.374625,3,0,0.0,3.634467,3.634467
g0004,g0004.mp3,13.374625,3,1,5.548367,7.08619,1.537823
g0004,g0004.mp3,13.374625,3,2,8.04805,9.392426,1.344376
g0005,g0005.mp3,6.58275,3,0,0.0,1.129184,1.129184
g0005,g0005.mp3,6.58275,3,1,2.773787,3.405306,0.631519
g0005,g0005.mp3,6.58275,3,2,3.898458,4.984535,1.086077
g0006,g0006.mp3,5.632375,3,0,0.0,1.027234,1.027234
g0006,g0006.mp3,5.632375,3,1,2.929705,3.437052,0.507347
g0006,g0006.mp3,5.632375,3,2,3.968118,4.968118,1.0
g0007,g0007.mp3,5.736875,3,0,0.0,1.02737,1.02737
g0007,g0007.mp3,5.736875,3,1,2.774399,3.286145,0.511746
g0007,g0007.mp3,5.736875,3,2,3.950703,4.950703,1.0
g0008,g0008.mp3,6.45225,3,0,0.0,1.027256,1.027256
g0008,g0008.mp3,6.45225,3,1,3.022494,3.532063,0.509569
g0008,g0008.mp3,6.45225,3,2,4.412857,5.412902,1.000045
g0009,g0009.mp3,6.191,3,0,0.0,1.027234,1.027234
g0009,g0009.mp3,6.191,3,1,2.859637,3.368095,0.508458
g0009,g0009.mp3,6.191,3,2,4.203764,5.204535,1.000771
g0010,g0010.mp3,6.13875,3,0,0.0,1.027256,1.027256
g0010,g0010.mp3,6.13875,3,1,2.97034,3.47644,0.5061
g0010,g0010.mp3,6.13875,3,2,4.262721,5.262744,1.000023
g0011,g0011.mp3,6.03425,3,0,0.0,1.027302,1.027302
g0011,g0011.mp3,6.03425,3,1,2.775873,3.287619,0.511746
g0011,g0011.mp3,6.03425,3,2,4.110113,5.11034,1.000227
g0012,g0012.mp3,6.24325,3,0,0.0,1.027234,1.027234
g0012,g0012.mp3,6.24325,3,1,2.861497,3.363016,0.501519
g0012,g0012.mp3,6.24325,3,2,4.19737,5.198186,1.000816
g0013,g0013.mp3,6.0865,3,0,0.0,1.027211,1.027211
g0013,g0013.mp3,6.0865,3,1,2.867755,3.372109,0.504354
g0013,g0013.mp3,6.0865,3,2,4.18771,5.18771,1.0
g0014,g0014.mp3,7.549375,3,0,0.0,1.027234,1.027234
g0014,g0014.mp3,7.549375,3,1,3.226961,3.740385,0.513424
g0014,g0014.mp3,7.549375,3,2,5.054875,6.055215,1.00034
g0015,g0015.mp3,7.262,3,0,0.0,1.027302,1.027302
g0015,g0015.mp3,7.262,3,1,3.186576,3.705624,0.519048
g0015,g0015.mp3,7.262,3,2,4.953515,5.953515,1.0
g0016,g0016.mp3,7.235875,3,0,0.0,1.027256,1.027256
g0016,g0016.mp3,7.235875,3,1,3.322653,3.822313,0.49966
g0016,g0016.mp3,7.235875,3,2,4.98576,5.986145,1.000385
g0017,g0017.mp3,7.52325,3,0,0.0,1.027234,1.027234
g0017,g0017.mp3,7.52325,3,1,3.481179,3.986236,0.505057
g0017,g0017.mp3,7.52325,3,2,5.173333,6.173333,1.0
g0018,g0018.mp3,6.530625,3,0,0.0,1.027234,1.027234
g0018,g0018.mp3,6.530625,3,1,3.177755,3.684875,0.50712
g0018,g0018.mp3,6.530625,3,2,4.603832,5.604785,1.000952
g0019,g0019.mp3,10.770438,4,0,0.0,2.064762,2.064762
g0019,g0019.mp3,10.770438,4,1,3.385125,3.524853,0.139728
g0019,g0019.mp3,10.770438,4,2,4.647324,5.779138,1.131814
g0019,g0019.mp3,10.770438,4,3,6.685556,8.438503,1.752948
g0020,g0020.mp3,6.7135,3,0,0.0,1.027256,1.027256
g0020,g0020.mp3,6.7135,3,1,2.883265,3.382517,0.499252
g0020,g0020.mp3,6.7135,3,2,4.475238,5.475465,1.000227
g0021,g0021.mp3,6.635125,3,0,0.0,1.027347,1.027347
g0021,g0021.mp3,6.635125,3,1,3.083333,3.595964,0.51263
g0021,g0021.mp3,6.635125,3,2,4.574512,5.575986,1.001474
g0022,g0022.mp3,5.720875,3,0,0.0,1.0278,1.0278
g0022,g0022.mp3,5.720875,3,1,2.765805,3.273764,0.507959
g0022,g0022.mp3,5.720875,3,2,3.925442,4.925442,1.0
g0023,g0023.mp3,6.530625,3,0,0.0,1.027642,1.027642
g0023,g0023.mp3,6.530625,3,1,3.135782,3.648163,0.512381
g0023,g0023.mp3,6.530625,3,2,4.540385,5.540658,1.000272
g0024,g0024.mp3,7.10525,3,0,0.0,1.027234,1.027234
